DATE,FEDFUNDS
1/1/1993,3.02
2/1/1993,3.03
3/1/1993,3.07
4/1/1993,2.96
5/1/1993,3
6/1/1993,3.04
7/1/1993,3.06
8/1/1993,3.03
9/1/1993,3.09
10/1/1993,2.99
11/1/1993,3.02
12/1/1993,2.96
1/1/1994,3.05
2/1/1994,3.25
3/1/1994,3.34
4/1/1994,3.56
5/1/1994,4.01
6/1/1994,4.25
7/1/1994,4.26
8/1/1994,4.47
9/1/1994,4.73
10/1/1994,4.76
11/1/1994,5.29
12/1/1994,5.45
1/1/1995,5.53
2/1/1995,5.92
3/1/1995,5.98
4/1/1995,6.05
5/1/1995,6.01
6/1/1995,6
7/1/1995,5.85
8/1/1995,5.74
9/1/1995,5.8
10/1/1995,5.76
11/1/1995,5.8
12/1/1995,5.6
1/1/1996,5.56
2/1/1996,5.22
3/1/1996,5.31
4/1/1996,5.22
5/1/1996,5.24
6/1/1996,5.27
7/1/1996,5.4
8/1/1996,5.22
9/1/1996,5.3
10/1/1996,5.24
11/1/1996,5.31
12/1/1996,5.29
1/1/1997,5.25
2/1/1997,5.19
3/1/1997,5.39
4/1/1997,5.51
5/1/1997,5.5
6/1/1997,5.56
7/1/1997,5.52
8/1/1997,5.54
9/1/1997,5.54
10/1/1997,5.5
11/1/1997,5.52
12/1/1997,5.5
1/1/1998,5.56
2/1/1998,5.51
3/1/1998,5.49
4/1/1998,5.45
5/1/1998,5.49
6/1/1998,5.56
7/1/1998,5.54
8/1/1998,5.55
9/1/1998,5.51
10/1/1998,5.07
11/1/1998,4.83
12/1/1998,4.68
1/1/1999,4.63
2/1/1999,4.76
3/1/1999,4.81
4/1/1999,4.74
5/1/1999,4.74
6/1/1999,4.76
7/1/1999,4.99
8/1/1999,5.07
9/1/1999,5.22
10/1/1999,5.2
11/1/1999,5.42
12/1/1999,5.3
1/1/2000,5.45
2/1/2000,5.73
3/1/2000,5.85
4/1/2000,6.02
5/1/2000,6.27
6/1/2000,6.53
7/1/2000,6.54
8/1/2000,6.5
9/1/2000,6.52
10/1/2000,6.51
11/1/2000,6.51
12/1/2000,6.4
1/1/2001,5.98
2/1/2001,5.49
3/1/2001,5.31
4/1/2001,4.8
5/1/2001,4.21
6/1/2001,3.97
7/1/2001,3.77
8/1/2001,3.65
9/1/2001,3.07
10/1/2001,2.49
11/1/2001,2.09
12/1/2001,1.82
1/1/2002,1.73
2/1/2002,1.74
3/1/2002,1.73
4/1/2002,1.75
5/1/2002,1.75
6/1/2002,1.75
7/1/2002,1.73
8/1/2002,1.74
9/1/2002,1.75
10/1/2002,1.75
11/1/2002,1.34
12/1/2002,1.24
1/1/2003,1.24
2/1/2003,1.26
3/1/2003,1.25
4/1/2003,1.26
5/1/2003,1.26
6/1/2003,1.22
7/1/2003,1.01
8/1/2003,1.03
9/1/2003,1.01
10/1/2003,1.01
11/1/2003,1
12/1/2003,0.98
1/1/2004,1
2/1/2004,1.01
3/1/2004,1
4/1/2004,1
5/1/2004,1
6/1/2004,1.03
7/1/2004,1.26
8/1/2004,1.43
9/1/2004,1.61
10/1/2004,1.76
11/1/2004,1.93
12/1/2004,2.16
1/1/2005,2.28
2/1/2005,2.5
3/1/2005,2.63
4/1/2005,2.79
5/1/2005,3
6/1/2005,3.04
7/1/2005,3.26
8/1/2005,3.5
9/1/2005,3.62
10/1/2005,3.78
11/1/2005,4
12/1/2005,4.16
1/1/2006,4.29
2/1/2006,4.49
3/1/2006,4.59
4/1/2006,4.79
5/1/2006,4.94
6/1/2006,4.99
7/1/2006,5.24
8/1/2006,5.25
9/1/2006,5.25
10/1/2006,5.25
11/1/2006,5.25
12/1/2006,5.24
1/1/2007,5.25
2/1/2007,5.26
3/1/2007,5.26
4/1/2007,5.25
5/1/2007,5.25
6/1/2007,5.25
7/1/2007,5.26
8/1/2007,5.02
9/1/2007,4.94
10/1/2007,4.76
11/1/2007,4.49
12/1/2007,4.24
1/1/2008,3.94
2/1/2008,2.98
3/1/2008,2.61
4/1/2008,2.28
5/1/2008,1.98
6/1/2008,2
7/1/2008,2.01
8/1/2008,2
9/1/2008,1.81
10/1/2008,0.97
11/1/2008,0.39
12/1/2008,0.16
1/1/2009,0.15
2/1/2009,0.22
3/1/2009,0.18
4/1/2009,0.15
5/1/2009,0.18
6/1/2009,0.21
7/1/2009,0.16
8/1/2009,0.16
